NOVANAID	XUTM	YUTM	Z	Ave_WATLEV	DATE	COMP_LAYER
201.4931_2	720870.93	6184176.09	10.59	21.8	31-01-2008	3
201.4932_1	720928.88	6184313.3	0.56	21.5	1-02-2008	3
201.4932_2	720928.88	6184313.3	4.0748	21.5	2-02-2008	3
201.4933_1	721061.76	6184456.2	0.6	21.4	3-02-2008	3
201.4940_1	720157	6184529	10.1239	22.83	4-02-2008	3
201.4941_1	720748	6184245	15.47	21.95	5-02-2008	3
201.5062_1	727712	6174721	-6	-2	6-02-2008	3
201.5138_1	724343	6174613.8	-6.7	-0.4	18-02-2008	3
201.5139_1	724318.01	6174613.28	-7.7	-0.54	19-02-2008	3
201.5847_1	721059.2	6181592	-0.8	10.9	21-02-2008	3
201.6522_1	725748	6175406	-3.5	-0.52	24-02-2008	3
203.478_1	639674	6162438	-8	6.2912	27-02-2008	3
204.179_1	655101.64	6162055	8.21	21.8392	4-03-2008	3
204.435_1	647160	6171394	-1	6	5-03-2008	3
204.436_1	647396	6171488	0.5	4.08	6-03-2008	3
205.119_1	677888	6170735	19.5	36.47	8-03-2008	3
205.271_1	666595	6160979	-0.05	27.2081	9-03-2008	3
205.272_1	668769	6160448	1.66	29.0985	10-03-2008	3
205.273_1	670560	6162719	4.5	34.6326	11-03-2008	3
205.289_1	670732	6159173	-0.57	33.187	12-03-2008	3
205.395_1	673897	6158797	29	47.1871	15-03-2008	3
205.446_1	663904	6159288	4	25.6975	17-03-2008	3
205.452_1	677005	6169752	31.7	37.165	18-03-2008	3
205.559_1	676261	6163240	23	41.2805	19-03-2008	3
206.1260_1	680826	6164759	42	46.3	26-03-2008	3
206.1274_1	696316	6172494	22.6	22.91	27-03-2008	3
206.1275_1	696240	6172494	20.81	22.905	28-03-2008	3
206.1291_2	695687.93	6170991.59	34.05	31.66	29-03-2008	3
206.193_1	681593	6163942	36.95	43.35	9-04-2008	3
206.276_1	681241	6164075	28.7	43.305	10-04-2008	3
206.863_1	682217	6169247	23.5	37.354	16-04-2008	3
207.2955_1	712577	6169290	-3.74	-1.4	1-05-2008	3
207.2956_1	715144.5	6173182.5	10.2159	8.7	2-05-2008	3
207.2958_1	715064.58	6173430.93	6.1163	9	4-05-2008	3
207.3483_1	701197	6171188	26.1015	23.7	22-05-2008	3
207.3485_2	701123	6171177	26.1	12.5	23-05-2008	3
208.1579_2	728933	6171843	-2.13	-0.1	20-06-2008	3
208.1601_1	728058	6171085	-3.85	-1.3	25-06-2008	3
208.1602_1	728024	6171035	-5.23	-1.315	26-06-2008	3
208.1604_1	727986	6171144	-5.61	-0.96	28-06-2008	3
208.1605_1	728037	6170952	-4.59	-2.23	29-06-2008	3
208.1719_1	728167	6170706	-5.17	-5.19	15-07-2008	3
208.1721_1	727796	6170859	-4.95	-2.8	17-07-2008	3
